Fecha,Campo_Futbol,Centro_Religioso,Establecimientos,Instalaciones_no_deportivas,Vias_de_Comunicacion,Viviendas,Medios_de_Transporte,Espacios_Desconocidos,Total_de_Delitos_de_Odio
2014,53,40,79,163,20,107,365,458,1285
2015,96,33,69,155,17,155,464,339,1328
2016,106,14,55,168,30,158,453,288,1272
2017,77,56,62,223,21,191,488,301,1419
2018,97,35,60,208,46,255,574,323,1598
2019,83,33,83,240,25,288,637,317,1706
2020,62,20,71,212,21,189,511,315,1401
2021,79,30,63,252,30,243,732,373,1802
2022,124,30,76,340,25,236,668,370,1869
2023,115,33,93,407,44,323,731,522,2268
2024,69,29,72,285,39,272,715,474,1955
